time,enrolled,available,waitlisted,total
2022-11-05T20:13:52,0,56,0,56
2022-11-05T20:23:09,0,56,0,56
2022-11-05T20:32:26,0,56,0,56
2022-11-05T20:41:54,0,56,0,56
2022-11-05T20:51:10,0,56,0,56
2022-11-05T21:00:26,0,56,0,56
2022-11-05T21:09:41,0,56,0,56
2022-11-05T21:18:56,0,56,0,56
2022-11-05T21:28:12,0,56,0,56
2022-11-05T21:37:27,0,56,0,56
2022-11-05T21:46:44,0,56,0,56
2022-11-05T21:55:59,0,56,0,56
2022-11-05T22:05:14,0,56,0,56
2022-11-05T22:14:29,0,56,0,56
2022-11-05T22:23:44,0,56,0,56
2022-11-05T22:33:01,0,56,0,56
2022-11-05T22:42:18,0,56,0,56
2022-11-05T22:51:33,0,56,0,56
2022-11-05T23:00:49,0,56,0,56
2022-11-05T23:10:06,0,56,0,56
2022-11-05T23:19:22,0,56,0,56
2022-11-05T23:28:38,0,56,0,56
2022-11-05T23:37:56,0,56,0,56
2022-11-05T23:47:12,0,56,0,56
2022-11-05T23:56:28,0,56,0,56
2022-11-06T00:05:53,0,56,0,56
2022-11-06T00:15:10,0,56,0,56
2022-11-06T00:24:26,0,56,0,56
2022-11-06T00:33:41,0,56,0,56
2022-11-06T00:42:57,0,56,0,56
2022-11-06T00:52:12,0,56,0,56
2022-11-06T01:01:27,0,56,0,56
2022-11-06T01:10:42,0,56,0,56
2022-11-06T01:19:58,0,56,0,56
2022-11-06T01:29:14,0,56,0,56
2022-11-06T01:38:30,0,56,0,56
2022-11-06T01:47:46,0,56,0,56
2022-11-06T01:57:02,0,56,0,56
2022-11-06T01:06:19,0,56,0,56
2022-11-06T01:15:35,0,56,0,56
2022-11-06T01:24:50,0,56,0,56
2022-11-06T01:34:07,0,56,0,56
2022-11-06T01:43:21,0,56,0,56
2022-11-06T01:52:40,0,56,0,56
2022-11-06T02:01:59,0,56,0,56
2022-11-06T02:11:18,0,56,0,56
2022-11-06T02:20:36,0,56,0,56
2022-11-06T02:29:57,0,56,0,56
2022-11-06T02:39:16,0,56,0,56
2022-11-06T02:48:36,0,56,0,56
2022-11-06T02:57:54,0,56,0,56
2022-11-06T03:07:13,0,56,0,56
2022-11-06T03:16:29,0,56,0,56
2022-11-06T03:25:46,0,56,0,56
2022-11-06T03:35:04,0,56,0,56
