time,enrolled,available,waitlisted,total
2022-11-05T20:14:17,0,40,0,40
2022-11-05T20:23:35,0,40,0,40
2022-11-05T20:32:51,0,40,0,40
2022-11-05T20:42:19,0,40,0,40
2022-11-05T20:51:35,0,40,0,40
2022-11-05T21:00:51,0,40,0,40
2022-11-05T21:10:06,0,40,0,40
2022-11-05T21:19:21,0,40,0,40
2022-11-05T21:28:37,0,40,0,40
2022-11-05T21:37:53,0,40,0,40
2022-11-05T21:47:09,0,40,0,40
2022-11-05T21:56:24,0,40,0,40
2022-11-05T22:05:39,0,40,0,40
2022-11-05T22:14:54,0,40,0,40
2022-11-05T22:24:09,0,40,0,40
2022-11-05T22:33:26,0,40,0,40
2022-11-05T22:42:43,0,40,0,40
2022-11-05T22:51:59,0,40,0,40
2022-11-05T23:01:14,0,40,0,40
2022-11-05T23:10:31,0,40,0,40
2022-11-05T23:19:47,0,40,0,40
2022-11-05T23:29:06,0,40,0,40
2022-11-05T23:38:21,0,40,0,40
2022-11-05T23:47:37,0,40,0,40
2022-11-05T23:56:53,0,40,0,40
2022-11-06T00:06:19,0,40,0,40
2022-11-06T00:15:35,0,40,0,40
2022-11-06T00:24:51,0,40,0,40
2022-11-06T00:34:06,0,40,0,40
2022-11-06T00:43:22,0,40,0,40
2022-11-06T00:52:37,0,40,0,40
2022-11-06T01:01:52,0,40,0,40
2022-11-06T01:11:08,0,40,0,40
2022-11-06T01:20:23,0,40,0,40
2022-11-06T01:29:40,0,40,0,40
2022-11-06T01:38:56,0,40,0,40
2022-11-06T01:48:11,0,40,0,40
2022-11-06T01:57:27,0,40,0,40
2022-11-06T01:06:44,0,40,0,40
2022-11-06T01:16:00,0,40,0,40
2022-11-06T01:25:16,0,40,0,40
2022-11-06T01:34:32,0,40,0,40
2022-11-06T01:43:47,0,40,0,40
2022-11-06T01:53:05,0,40,0,40
2022-11-06T02:02:24,0,40,0,40
2022-11-06T02:11:43,0,40,0,40
2022-11-06T02:21:02,0,40,0,40
2022-11-06T02:30:23,0,40,0,40
2022-11-06T02:39:42,0,40,0,40
2022-11-06T02:49:01,0,40,0,40
2022-11-06T02:58:20,0,40,0,40
2022-11-06T03:07:38,0,40,0,40
2022-11-06T03:16:55,0,40,0,40
2022-11-06T03:26:11,0,40,0,40
2022-11-06T03:35:30,0,40,0,40
2022-11-06T03:44:49,0,40,0,40
2022-11-06T03:54:09,0,40,0,40
2022-11-06T04:03:29,0,40,0,40
2022-11-06T04:18:48,0,40,0,40
2022-11-06T04:28:07,0,40,0,40
2022-11-06T04:37:26,0,40,0,40
2022-11-06T04:47:54,0,40,0,40
2022-11-06T04:57:29,0,40,0,40
2022-11-06T05:06:46,0,40,0,40
2022-11-06T05:16:04,0,40,0,40
2022-11-06T05:25:20,0,40,0,40
2022-11-06T05:34:37,0,40,0,40
2022-11-06T05:43:52,0,40,0,40
2022-11-06T05:53:09,0,40,0,40
2022-11-06T06:02:27,0,40,0,40
2022-11-06T06:11:46,0,40,0,40
2022-11-06T06:21:05,0,40,0,40
2022-11-06T06:30:21,0,40,0,40
2022-11-06T06:39:38,0,40,0,40
2022-11-06T06:48:53,0,40,0,40
2022-11-06T06:58:09,0,40,0,40
2022-11-06T07:07:26,0,40,0,40
2022-11-06T07:16:44,0,40,0,40
2022-11-06T07:26:01,0,40,0,40
2022-11-06T07:35:19,0,40,0,40
2022-11-06T07:44:38,0,40,0,40
2022-11-06T07:53:56,0,40,0,40
2022-11-06T08:03:12,0,40,0,40
2022-11-06T08:12:29,0,40,0,40
2022-11-06T08:21:46,0,40,0,40
2022-11-06T08:31:04,0,40,0,40
2022-11-06T08:40:20,0,40,0,40
2022-11-06T08:49:36,0,40,0,40
2022-11-06T08:58:54,0,40,0,40
2022-11-06T09:08:09,0,40,0,40
