time,enrolled,available,waitlisted,total
2022-11-05T20:11:07,0,20,0,20
2022-11-05T20:20:24,0,20,0,20
2022-11-05T20:29:41,0,20,0,20
2022-11-05T20:39:08,0,20,0,20
2022-11-05T20:48:25,0,20,0,20
2022-11-05T20:57:40,0,20,0,20
2022-11-05T21:06:56,0,20,0,20
2022-11-05T21:16:11,0,20,0,20
2022-11-05T21:25:26,0,20,0,20
2022-11-05T21:34:42,0,20,0,20
2022-11-05T21:43:59,0,20,0,20
2022-11-05T21:53:14,0,20,0,20
2022-11-05T22:02:29,0,20,0,20
2022-11-05T22:11:44,0,20,0,20
2022-11-05T22:20:59,0,20,0,20
2022-11-05T22:30:14,0,20,0,20
2022-11-05T22:39:32,0,20,0,20
2022-11-05T22:48:48,0,20,0,20
2022-11-05T22:58:04,0,20,0,20
2022-11-05T23:07:21,0,20,0,20
2022-11-05T23:16:36,0,20,0,20
2022-11-05T23:25:53,0,20,0,20
2022-11-05T23:35:11,0,20,0,20
2022-11-05T23:44:27,0,20,0,20
2022-11-05T23:53:43,0,20,0,20
2022-11-06T00:02:58,0,20,0,20
2022-11-06T00:12:25,0,20,0,20
2022-11-06T00:21:40,0,20,0,20
2022-11-06T00:30:56,0,20,0,20
2022-11-06T00:40:11,0,20,0,20
2022-11-06T00:49:27,0,20,0,20
2022-11-06T00:58:42,0,20,0,20
2022-11-06T01:07:57,0,20,0,20
2022-11-06T01:17:12,0,20,0,20
2022-11-06T01:26:29,0,20,0,20
2022-11-06T01:35:45,0,20,0,20
2022-11-06T01:45:01,0,20,0,20
2022-11-06T01:54:16,0,20,0,20
2022-11-06T01:03:33,0,20,0,20
2022-11-06T01:12:49,0,20,0,20
2022-11-06T01:22:05,0,20,0,20
2022-11-06T01:31:22,0,20,0,20
2022-11-06T01:40:36,0,20,0,20
2022-11-06T01:49:53,0,20,0,20
2022-11-06T01:59:13,0,20,0,20
2022-11-06T02:08:31,0,20,0,20
2022-11-06T02:17:50,0,20,0,20
2022-11-06T02:27:10,0,20,0,20
2022-11-06T02:36:30,0,20,0,20
2022-11-06T02:45:49,0,20,0,20
2022-11-06T02:55:08,0,20,0,20
2022-11-06T03:04:27,0,20,0,20
2022-11-06T03:13:44,0,20,0,20
2022-11-06T03:23:01,0,20,0,20
2022-11-06T03:32:18,0,20,0,20
2022-11-06T03:41:38,0,20,0,20
2022-11-06T03:50:58,0,20,0,20
2022-11-06T04:00:17,0,20,0,20
2022-11-06T04:15:35,0,20,0,20
2022-11-06T04:24:56,0,20,0,20
2022-11-06T04:34:15,0,20,0,20
2022-11-06T04:43:53,0,20,0,20
2022-11-06T04:54:17,0,20,0,20
2022-11-06T05:03:36,0,20,0,20
2022-11-06T05:12:53,0,20,0,20
2022-11-06T05:22:09,0,20,0,20
2022-11-06T05:31:26,0,20,0,20
2022-11-06T05:40:42,0,20,0,20
2022-11-06T05:49:58,0,20,0,20
2022-11-06T05:59:16,0,20,0,20
2022-11-06T06:08:35,0,20,0,20
2022-11-06T06:17:53,0,20,0,20
2022-11-06T06:27:10,0,20,0,20
2022-11-06T06:36:27,0,20,0,20
2022-11-06T06:45:43,0,20,0,20
2022-11-06T06:54:59,0,20,0,20
2022-11-06T07:04:16,0,20,0,20
2022-11-06T07:13:33,0,20,0,20
2022-11-06T07:22:50,0,20,0,20
2022-11-06T07:32:08,0,20,0,20
2022-11-06T07:41:27,0,20,0,20
2022-11-06T07:50:45,0,20,0,20
2022-11-06T08:00:01,0,20,0,20
2022-11-06T08:09:18,0,20,0,20
2022-11-06T08:18:35,0,20,0,20
2022-11-06T08:27:53,0,20,0,20
2022-11-06T08:37:09,0,20,0,20
2022-11-06T08:46:25,0,20,0,20
2022-11-06T08:55:43,0,20,0,20
2022-11-06T09:04:59,0,20,0,20
2022-11-06T09:14:14,0,20,0,20
2022-11-06T09:23:28,0,20,0,20
2022-11-06T09:32:41,0,20,0,20
2022-11-06T09:41:55,0,20,0,20
2022-11-06T09:51:10,0,20,0,20
2022-11-06T10:00:23,0,20,0,20
2022-11-06T10:09:36,0,20,0,20
2022-11-06T10:18:50,0,20,0,20
2022-11-06T10:28:04,0,20,0,20
2022-11-06T10:37:20,0,20,0,20
2022-11-06T10:46:35,0,20,0,20
2022-11-06T10:55:50,0,20,0,20
2022-11-06T11:05:05,0,20,0,20
2022-11-06T11:14:20,0,20,0,20
2022-11-06T11:23:37,0,20,0,20
2022-11-06T11:32:59,0,20,0,20
2022-11-06T11:42:16,0,20,0,20
2022-11-06T11:51:30,0,20,0,20
2022-11-06T12:00:44,0,20,0,20
2022-11-06T12:09:58,0,20,0,20
2022-11-06T12:19:14,0,20,0,20
2022-11-06T12:28:39,0,20,0,20
2022-11-06T12:37:52,0,20,0,20
2022-11-06T12:47:08,0,20,0,20
2022-11-06T12:56:22,0,20,0,20
2022-11-06T13:05:36,0,20,0,20
2022-11-06T13:14:51,0,20,0,20
2022-11-06T13:24:08,0,20,0,20
2022-11-06T13:33:22,0,20,0,20
2022-11-06T13:42:35,0,20,0,20
2022-11-06T13:51:49,0,20,0,20
2022-11-06T14:01:04,0,20,0,20
2022-11-06T14:10:19,0,20,0,20
2022-11-06T14:19:43,0,20,0,20
2022-11-06T14:28:57,0,20,0,20
2022-11-06T14:38:11,0,20,0,20
2022-11-06T14:47:27,0,20,0,20
2022-11-06T14:56:41,0,20,0,20
2022-11-06T15:05:55,0,20,0,20
2022-11-06T15:15:08,0,20,0,20
2022-11-06T15:24:22,0,20,0,20
2022-11-06T15:33:35,0,20,0,20
2022-11-06T15:42:50,0,20,0,20
2022-11-06T15:52:03,0,20,0,20
2022-11-06T16:01:15,0,20,0,20
2022-11-06T16:10:38,0,20,0,20
2022-11-06T16:19:53,0,20,0,20
2022-11-06T16:29:09,0,20,0,20
2022-11-06T16:38:25,0,20,0,20
2022-11-06T16:47:40,0,20,0,20
2022-11-06T16:56:55,0,20,0,20
2022-11-06T17:06:10,0,20,0,20
2022-11-06T17:15:25,0,20,0,20
2022-11-06T17:24:40,0,20,0,20
2022-11-06T17:33:55,0,20,0,20
2022-11-06T17:43:20,0,20,0,20
2022-11-06T17:52:34,0,20,0,20
2022-11-06T18:01:50,0,20,0,20
2022-11-06T18:11:05,0,20,0,20
2022-11-06T18:20:20,0,20,0,20
2022-11-06T18:29:34,0,20,0,20
2022-11-06T18:38:48,0,20,0,20
2022-11-06T18:48:02,0,20,0,20
2022-11-06T18:57:16,0,20,0,20
2022-11-06T19:06:32,0,20,0,20
2022-11-06T19:15:55,0,20,0,20
2022-11-06T19:25:10,0,20,0,20
2022-11-06T19:34:25,0,20,0,20
2022-11-06T19:43:38,0,20,0,20
2022-11-06T19:52:51,0,20,0,20
2022-11-06T20:02:05,0,20,0,20
2022-11-06T20:11:19,0,20,0,20
2022-11-06T20:20:33,0,20,0,20
2022-11-06T20:29:49,0,20,0,20
2022-11-06T20:39:11,0,20,0,20
2022-11-06T20:48:26,0,20,0,20
2022-11-06T20:57:40,0,20,0,20
2022-11-06T21:06:55,0,20,0,20
2022-11-06T21:16:08,0,20,0,20
2022-11-06T21:25:20,0,20,0,20
2022-11-06T21:34:33,0,20,0,20
2022-11-06T21:43:49,0,20,0,20
2022-11-06T21:53:12,0,20,0,20
2022-11-06T22:02:29,0,20,0,20
2022-11-06T22:11:43,0,20,0,20
2022-11-06T22:20:58,0,20,0,20
2022-11-06T22:30:13,0,20,0,20
2022-11-06T22:39:28,0,20,0,20
2022-11-06T22:48:42,0,20,0,20
2022-11-06T22:57:57,0,20,0,20
2022-11-06T23:07:23,0,20,0,20
2022-11-06T23:16:38,0,20,0,20
2022-11-06T23:25:54,0,20,0,20
2022-11-06T23:35:09,0,20,0,20
2022-11-06T23:44:25,0,20,0,20
2022-11-06T23:53:40,0,20,0,20
2022-11-07T00:04:39,0,20,0,20
2022-11-07T00:14:02,0,20,0,20
2022-11-07T00:23:30,0,20,0,20
2022-11-07T00:32:47,0,20,0,20
2022-11-07T00:42:03,0,20,0,20
2022-11-07T00:51:17,0,20,0,20
2022-11-07T01:00:32,0,20,0,20
2022-11-07T01:09:52,0,20,0,20
2022-11-07T01:19:09,0,20,0,20
2022-11-07T01:28:24,0,20,0,20
2022-11-07T01:37:39,0,20,0,20
2022-11-07T01:47:05,0,20,0,20
2022-11-07T01:56:19,0,20,0,20
2022-11-07T02:05:33,0,20,0,20
2022-11-07T02:14:48,0,20,0,20
2022-11-07T02:24:03,0,20,0,20
2022-11-07T02:33:17,0,20,0,20
2022-11-07T02:42:31,0,20,0,20
2022-11-07T02:51:45,0,20,0,20
2022-11-07T03:00:59,0,20,0,20
2022-11-07T03:10:14,0,20,0,20
2022-11-07T03:19:30,0,20,0,20
2022-11-07T03:28:44,0,20,0,20
2022-11-07T03:38:01,0,20,0,20
2022-11-07T03:47:16,0,20,0,20
2022-11-07T03:56:33,0,20,0,20
2022-11-07T04:05:51,0,20,0,20
2022-11-07T04:23:00,0,20,0,20
2022-11-07T04:32:40,0,20,0,20
2022-11-07T04:41:56,0,20,0,20
2022-11-07T04:51:14,0,20,0,20
2022-11-07T05:00:28,0,20,0,20
2022-11-07T05:09:44,0,20,0,20
2022-11-07T05:18:59,0,20,0,20
2022-11-07T05:28:12,0,20,0,20
2022-11-07T05:37:26,0,20,0,20
2022-11-07T05:46:40,0,20,0,20
2022-11-07T05:55:56,0,20,0,20
2022-11-07T06:05:13,0,20,0,20
2022-11-07T06:14:30,0,20,0,20
2022-11-07T06:23:48,0,20,0,20
2022-11-07T06:33:05,0,20,0,20
2022-11-07T06:42:22,0,20,0,20
2022-11-07T06:51:38,0,20,0,20
2022-11-07T07:00:54,0,20,0,20
2022-11-07T07:10:11,0,20,0,20
2022-11-07T07:19:28,0,20,0,20
2022-11-07T07:28:46,0,20,0,20
2022-11-07T07:38:03,0,20,0,20
2022-11-07T07:47:21,0,20,0,20
2022-11-07T07:56:41,0,20,0,20
2022-11-07T08:06:00,0,20,0,20
2022-11-07T08:15:19,0,20,0,20
2022-11-07T08:24:38,0,20,0,20
2022-11-07T08:34:06,0,20,0,20
2022-11-07T08:43:24,0,20,0,20
2022-11-07T08:52:40,0,20,0,20
2022-11-07T09:01:58,0,20,0,20
2022-11-07T09:11:19,0,20,0,20
2022-11-07T09:20:40,0,20,0,20
2022-11-07T09:29:59,0,20,0,20
2022-11-07T09:39:19,0,20,0,20
2022-11-07T09:48:56,0,20,0,20
2022-11-07T09:58:14,0,20,0,20
2022-11-07T10:07:33,0,20,0,20
2022-11-07T10:16:52,0,20,0,20
2022-11-07T10:26:11,0,20,0,20
2022-11-07T10:35:32,0,20,0,20
2022-11-07T10:45:03,0,20,0,20
2022-11-07T10:54:22,0,20,0,20
2022-11-07T11:03:42,0,20,0,20
2022-11-07T11:13:03,0,20,0,20
2022-11-07T11:22:24,0,20,0,20
2022-11-07T11:31:55,0,20,0,20
2022-11-07T11:41:15,0,20,0,20
2022-11-07T11:50:34,0,20,0,20
2022-11-07T11:59:51,0,20,0,20
2022-11-07T12:09:20,0,20,0,20
2022-11-07T12:18:40,0,20,0,20
2022-11-07T12:28:00,0,20,0,20
2022-11-07T12:37:19,0,20,0,20
2022-11-07T12:46:49,0,20,0,20
2022-11-07T12:56:09,0,20,0,20
2022-11-07T13:05:30,0,20,0,20
2022-11-07T13:14:51,0,20,0,20
2022-11-07T13:24:22,0,20,0,20
2022-11-07T13:33:43,0,20,0,20
2022-11-07T13:43:05,0,20,0,20
2022-11-07T13:52:36,0,20,0,20
2022-11-07T14:01:56,0,20,0,20
2022-11-07T14:11:15,0,20,0,20
2022-11-07T14:20:35,0,20,0,20
2022-11-07T14:30:05,0,20,0,20
2022-11-07T14:39:25,0,20,0,20
2022-11-07T14:48:44,0,20,0,20
2022-11-07T14:58:02,0,20,0,20
2022-11-07T15:07:21,0,20,0,20
2022-11-07T15:16:53,0,20,0,20
2022-11-07T15:26:12,0,20,0,20
2022-11-07T15:35:30,0,20,0,20
2022-11-07T15:44:48,0,20,0,20
2022-11-07T15:54:17,0,20,0,20
2022-11-07T16:03:35,0,20,0,20
2022-11-07T16:12:53,0,20,0,20
2022-11-07T16:22:12,0,20,0,20
2022-11-07T16:31:30,0,20,0,20
2022-11-07T16:40:58,0,20,0,20
2022-11-07T16:50:16,0,20,0,20
