time,enrolled,available,waitlisted,total
2022-11-05T20:13:42,0,100,0,100
2022-11-05T20:22:59,0,100,0,100
2022-11-05T20:32:16,0,100,0,100
2022-11-05T20:41:44,0,100,0,100
2022-11-05T20:51:00,0,100,0,100
2022-11-05T21:00:16,0,100,0,100
2022-11-05T21:09:31,0,100,0,100
2022-11-05T21:18:46,0,100,0,100
2022-11-05T21:28:02,0,100,0,100
2022-11-05T21:37:17,0,100,0,100
2022-11-05T21:46:34,0,100,0,100
2022-11-05T21:55:49,0,100,0,100
2022-11-05T22:05:04,0,100,0,100
2022-11-05T22:14:19,0,100,0,100
2022-11-05T22:23:35,0,100,0,100
2022-11-05T22:32:51,0,100,0,100
2022-11-05T22:42:08,0,100,0,100
2022-11-05T22:51:23,0,100,0,100
2022-11-05T23:00:39,0,100,0,100
2022-11-05T23:09:56,0,100,0,100
2022-11-05T23:19:12,0,100,0,100
2022-11-05T23:28:28,0,100,0,100
2022-11-05T23:37:46,0,100,0,100
2022-11-05T23:47:02,0,100,0,100
2022-11-05T23:56:18,0,100,0,100
2022-11-06T00:05:43,0,100,0,100
2022-11-06T00:15:00,0,100,0,100
2022-11-06T00:24:16,0,100,0,100
2022-11-06T00:33:31,0,100,0,100
2022-11-06T00:42:47,0,100,0,100
2022-11-06T00:52:02,0,100,0,100
2022-11-06T01:01:17,0,100,0,100
2022-11-06T01:10:33,0,100,0,100
2022-11-06T01:19:48,0,100,0,100
2022-11-06T01:29:04,0,100,0,100
2022-11-06T01:38:20,0,100,0,100
2022-11-06T01:47:36,0,100,0,100
2022-11-06T01:56:52,0,100,0,100
2022-11-06T01:06:08,0,100,0,100
2022-11-06T01:15:25,0,100,0,100
2022-11-06T01:24:40,0,100,0,100
2022-11-06T01:33:57,0,100,0,100
2022-11-06T01:43:11,0,100,0,100
2022-11-06T01:52:30,0,100,0,100
2022-11-06T02:01:49,0,100,0,100
2022-11-06T02:11:08,0,100,0,100
2022-11-06T02:20:26,0,100,0,100
2022-11-06T02:29:47,0,100,0,100
2022-11-06T02:39:06,0,100,0,100
2022-11-06T02:48:25,0,100,0,100
2022-11-06T02:57:44,0,100,0,100
2022-11-06T03:07:03,0,100,0,100
2022-11-06T03:16:19,0,100,0,100
2022-11-06T03:25:36,0,100,0,100
2022-11-06T03:34:54,0,100,0,100
2022-11-06T03:44:14,0,100,0,100
2022-11-06T03:53:34,0,100,0,100
2022-11-06T04:02:53,0,100,0,100
2022-11-06T04:18:12,0,100,0,100
2022-11-06T04:27:32,0,100,0,100
2022-11-06T04:36:51,0,100,0,100
2022-11-06T04:47:19,0,100,0,100
2022-11-06T04:56:54,0,100,0,100
2022-11-06T05:06:11,0,100,0,100
2022-11-06T05:15:28,0,100,0,100
