time,enrolled,available,waitlisted,total
2022-11-05T20:11:53,0,90,0,90
2022-11-05T20:21:10,0,90,0,90
2022-11-05T20:30:27,0,90,0,90
2022-11-05T20:39:55,0,90,0,90
2022-11-05T20:49:11,0,90,0,90
2022-11-05T20:58:27,0,90,0,90
2022-11-05T21:07:43,0,90,0,90
2022-11-05T21:16:58,0,90,0,90
2022-11-05T21:26:13,0,90,0,90
2022-11-05T21:35:29,0,90,0,90
2022-11-05T21:44:45,0,90,0,90
2022-11-05T21:54:00,0,90,0,90
2022-11-05T22:03:15,0,90,0,90
2022-11-05T22:12:31,0,90,0,90
2022-11-05T22:21:46,0,90,0,90
2022-11-05T22:31:01,0,90,0,90
2022-11-05T22:40:19,0,90,0,90
2022-11-05T22:49:35,0,90,0,90
2022-11-05T22:58:51,0,90,0,90
2022-11-05T23:08:07,0,90,0,90
2022-11-05T23:17:23,0,90,0,90
2022-11-05T23:26:40,0,90,0,90
2022-11-05T23:35:57,0,90,0,90
2022-11-05T23:45:13,0,90,0,90
2022-11-05T23:54:30,0,90,0,90
2022-11-06T00:03:45,0,90,0,90
2022-11-06T00:13:11,0,90,0,90
2022-11-06T00:22:27,0,90,0,90
2022-11-06T00:31:43,0,90,0,90
2022-11-06T00:40:58,0,90,0,90
2022-11-06T00:50:14,0,90,0,90
2022-11-06T00:59:29,0,90,0,90
2022-11-06T01:08:44,0,90,0,90
2022-11-06T01:17:59,0,90,0,90
2022-11-06T01:27:15,0,90,0,90
2022-11-06T01:36:31,0,90,0,90
2022-11-06T01:45:47,0,90,0,90
2022-11-06T01:55:03,0,90,0,90
2022-11-06T01:04:19,0,90,0,90
2022-11-06T01:13:36,0,90,0,90
2022-11-06T01:22:52,0,90,0,90
2022-11-06T01:32:08,0,90,0,90
2022-11-06T01:41:23,0,90,0,90
2022-11-06T01:50:40,0,90,0,90
2022-11-06T02:00:00,0,90,0,90
2022-11-06T02:09:18,0,90,0,90
2022-11-06T02:18:37,0,90,0,90
2022-11-06T02:27:57,0,90,0,90
2022-11-06T02:37:17,0,90,0,90
2022-11-06T02:46:36,0,90,0,90
2022-11-06T02:55:55,0,90,0,90
2022-11-06T03:05:13,0,90,0,90
2022-11-06T03:14:31,0,90,0,90
2022-11-06T03:23:47,0,90,0,90
2022-11-06T03:33:05,0,90,0,90
2022-11-06T03:42:25,0,90,0,90
2022-11-06T03:51:45,0,90,0,90
2022-11-06T04:01:04,0,90,0,90
2022-11-06T04:16:22,0,90,0,90
2022-11-06T04:25:43,0,90,0,90
2022-11-06T04:35:02,0,90,0,90
2022-11-06T04:45:19,0,90,0,90
2022-11-06T04:55:04,0,90,0,90
2022-11-06T05:04:22,0,90,0,90
2022-11-06T05:13:39,0,90,0,90
2022-11-06T05:22:56,0,90,0,90
2022-11-06T05:32:13,0,90,0,90
2022-11-06T05:41:28,0,90,0,90
2022-11-06T05:50:44,0,90,0,90
2022-11-06T06:00:02,0,90,0,90
2022-11-06T06:09:21,0,90,0,90
2022-11-06T06:18:40,0,90,0,90
2022-11-06T06:27:57,0,90,0,90
2022-11-06T06:37:14,0,90,0,90
2022-11-06T06:46:30,0,90,0,90
2022-11-06T06:55:45,0,90,0,90
2022-11-06T07:05:02,0,90,0,90
2022-11-06T07:14:19,0,90,0,90
2022-11-06T07:23:37,0,90,0,90
2022-11-06T07:32:55,0,90,0,90
2022-11-06T07:42:13,0,90,0,90
2022-11-06T07:51:32,0,90,0,90
2022-11-06T08:00:48,0,90,0,90
2022-11-06T08:10:04,0,90,0,90
2022-11-06T08:19:22,0,90,0,90
2022-11-06T08:28:39,0,90,0,90
2022-11-06T08:37:55,0,90,0,90
2022-11-06T08:47:12,0,90,0,90
2022-11-06T08:56:30,0,90,0,90
2022-11-06T09:05:45,0,90,0,90
2022-11-06T09:15:00,0,90,0,90
2022-11-06T09:24:15,0,90,0,90
2022-11-06T09:33:28,0,90,0,90
2022-11-06T09:42:42,0,90,0,90
