time,enrolled,available,waitlisted,total
2022-11-05T20:13:49,0,42,0,42
2022-11-05T20:23:06,0,42,0,42
2022-11-05T20:32:23,0,42,0,42
2022-11-05T20:41:51,0,42,0,42
2022-11-05T20:51:06,0,42,0,42
2022-11-05T21:00:22,0,42,0,42
2022-11-05T21:09:37,0,42,0,42
2022-11-05T21:18:52,0,42,0,42
2022-11-05T21:28:08,0,42,0,42
2022-11-05T21:37:24,0,42,0,42
2022-11-05T21:46:40,0,42,0,42
2022-11-05T21:55:55,0,42,0,42
2022-11-05T22:05:10,0,42,0,42
2022-11-05T22:14:26,0,42,0,42
2022-11-05T22:23:41,0,42,0,42
2022-11-05T22:32:57,0,42,0,42
2022-11-05T22:42:14,0,42,0,42
2022-11-05T22:51:30,0,42,0,42
2022-11-05T23:00:46,0,42,0,42
2022-11-05T23:10:03,0,42,0,42
2022-11-05T23:19:19,0,42,0,42
2022-11-05T23:28:35,0,42,0,42
2022-11-05T23:37:52,0,42,0,42
2022-11-05T23:47:09,0,42,0,42
2022-11-05T23:56:25,0,42,0,42
2022-11-06T00:05:50,0,42,0,42
2022-11-06T00:15:07,0,42,0,42
2022-11-06T00:24:22,0,42,0,42
2022-11-06T00:33:38,0,42,0,42
2022-11-06T00:42:54,0,42,0,42
2022-11-06T00:52:09,0,42,0,42
2022-11-06T01:01:24,0,42,0,42
2022-11-06T01:10:39,0,42,0,42
2022-11-06T01:19:55,0,42,0,42
2022-11-06T01:29:11,0,42,0,42
2022-11-06T01:38:27,0,42,0,42
2022-11-06T01:47:42,0,42,0,42
2022-11-06T01:56:58,0,42,0,42
2022-11-06T01:06:15,0,42,0,42
2022-11-06T01:15:31,0,42,0,42
2022-11-06T01:24:47,0,42,0,42
2022-11-06T01:34:03,0,42,0,42
2022-11-06T01:43:18,0,42,0,42
2022-11-06T01:52:37,0,42,0,42
2022-11-06T02:01:55,0,42,0,42
2022-11-06T02:11:14,0,42,0,42
2022-11-06T02:20:33,0,42,0,42
2022-11-06T02:29:54,0,42,0,42
2022-11-06T02:39:13,0,42,0,42
2022-11-06T02:48:32,0,42,0,42
2022-11-06T02:57:51,0,42,0,42
2022-11-06T03:07:09,0,42,0,42
2022-11-06T03:16:26,0,42,0,42
2022-11-06T03:25:43,0,42,0,42
2022-11-06T03:35:01,0,42,0,42
2022-11-06T03:44:21,0,42,0,42
2022-11-06T03:53:41,0,42,0,42
2022-11-06T04:03:00,0,42,0,42
2022-11-06T04:18:19,0,42,0,42
2022-11-06T04:27:39,0,42,0,42
2022-11-06T04:36:58,0,42,0,42
2022-11-06T04:47:25,0,42,0,42
2022-11-06T04:57:00,0,42,0,42
2022-11-06T05:06:18,0,42,0,42
2022-11-06T05:15:35,0,42,0,42
2022-11-06T05:24:51,0,42,0,42
2022-11-06T05:34:09,0,42,0,42
2022-11-06T05:43:23,0,42,0,42
