time,enrolled,available,waitlisted,total
2022-11-05T20:11:06,0,20,0,20
2022-11-05T20:20:23,0,20,0,20
2022-11-05T20:29:40,0,20,0,20
2022-11-05T20:39:07,0,20,0,20
2022-11-05T20:48:24,0,20,0,20
2022-11-05T20:57:40,0,20,0,20
2022-11-05T21:06:55,0,20,0,20
2022-11-05T21:16:10,0,20,0,20
2022-11-05T21:25:25,0,20,0,20
2022-11-05T21:34:41,0,20,0,20
2022-11-05T21:43:58,0,20,0,20
2022-11-05T21:53:13,0,20,0,20
2022-11-05T22:02:28,0,20,0,20
2022-11-05T22:11:43,0,20,0,20
2022-11-05T22:20:59,0,20,0,20
2022-11-05T22:30:14,0,20,0,20
2022-11-05T22:39:32,0,20,0,20
2022-11-05T22:48:48,0,20,0,20
2022-11-05T22:58:03,0,20,0,20
2022-11-05T23:07:20,0,20,0,20
2022-11-05T23:16:36,0,20,0,20
2022-11-05T23:25:52,0,20,0,20
2022-11-05T23:35:10,0,20,0,20
2022-11-05T23:44:26,0,20,0,20
2022-11-05T23:53:43,0,20,0,20
2022-11-06T00:02:57,0,20,0,20
2022-11-06T00:12:24,0,20,0,20
2022-11-06T00:21:39,0,20,0,20
2022-11-06T00:30:55,0,20,0,20
2022-11-06T00:40:10,0,20,0,20
2022-11-06T00:49:26,0,20,0,20
2022-11-06T00:58:41,0,20,0,20
2022-11-06T01:07:56,0,20,0,20
2022-11-06T01:17:12,0,20,0,20
2022-11-06T01:26:28,0,20,0,20
2022-11-06T01:35:44,0,20,0,20
2022-11-06T01:45:00,0,20,0,20
2022-11-06T01:54:16,0,20,0,20
2022-11-06T01:03:32,0,20,0,20
2022-11-06T01:12:48,0,20,0,20
2022-11-06T01:22:04,0,20,0,20
2022-11-06T01:31:21,0,20,0,20
2022-11-06T01:40:35,0,20,0,20
2022-11-06T01:49:53,0,20,0,20
2022-11-06T01:59:12,0,20,0,20
2022-11-06T02:08:30,0,20,0,20
2022-11-06T02:17:49,0,20,0,20
2022-11-06T02:27:09,0,20,0,20
2022-11-06T02:36:29,0,20,0,20
2022-11-06T02:45:48,0,20,0,20
2022-11-06T02:55:07,0,20,0,20
2022-11-06T03:04:26,0,20,0,20
2022-11-06T03:13:43,0,20,0,20
2022-11-06T03:23:00,0,20,0,20
2022-11-06T03:32:17,0,20,0,20
2022-11-06T03:41:37,0,20,0,20
2022-11-06T03:50:57,0,20,0,20
2022-11-06T04:00:16,0,20,0,20
2022-11-06T04:15:34,0,20,0,20
2022-11-06T04:24:55,0,20,0,20
2022-11-06T04:34:14,0,20,0,20
2022-11-06T04:43:52,0,20,0,20
2022-11-06T04:54:17,0,20,0,20
2022-11-06T05:03:35,0,20,0,20
2022-11-06T05:12:52,0,20,0,20
2022-11-06T05:22:08,0,20,0,20
2022-11-06T05:31:25,0,20,0,20
2022-11-06T05:40:41,0,20,0,20
2022-11-06T05:49:57,0,20,0,20
2022-11-06T05:59:15,0,20,0,20
2022-11-06T06:08:34,0,20,0,20
2022-11-06T06:17:52,0,20,0,20
2022-11-06T06:27:10,0,20,0,20
2022-11-06T06:36:26,0,20,0,20
2022-11-06T06:45:42,0,20,0,20
2022-11-06T06:54:58,0,20,0,20
2022-11-06T07:04:15,0,20,0,20
2022-11-06T07:13:32,0,20,0,20
2022-11-06T07:22:49,0,20,0,20
2022-11-06T07:32:07,0,20,0,20
2022-11-06T07:41:26,0,20,0,20
2022-11-06T07:50:44,0,20,0,20
2022-11-06T08:00:00,0,20,0,20
2022-11-06T08:09:17,0,20,0,20
2022-11-06T08:18:34,0,20,0,20
2022-11-06T08:27:52,0,20,0,20
2022-11-06T08:37:08,0,20,0,20
2022-11-06T08:46:25,0,20,0,20
2022-11-06T08:55:42,0,20,0,20
2022-11-06T09:04:58,0,20,0,20
2022-11-06T09:14:13,0,20,0,20
2022-11-06T09:23:27,0,20,0,20
2022-11-06T09:32:40,0,20,0,20
2022-11-06T09:41:55,0,20,0,20
2022-11-06T09:51:09,0,20,0,20
2022-11-06T10:00:22,0,20,0,20
2022-11-06T10:09:36,0,20,0,20
2022-11-06T10:18:49,0,20,0,20
2022-11-06T10:28:03,0,20,0,20
2022-11-06T10:37:20,0,20,0,20
2022-11-06T10:46:34,0,20,0,20
2022-11-06T10:55:49,0,20,0,20
2022-11-06T11:05:04,0,20,0,20
2022-11-06T11:14:19,0,20,0,20
2022-11-06T11:23:36,0,20,0,20
2022-11-06T11:32:58,0,20,0,20
2022-11-06T11:42:15,0,20,0,20
2022-11-06T11:51:29,0,20,0,20
